Сокольническая линия,Бульвар Рокоссовского,-8
Сокольническая линия,Черкизовская,-9
Сокольническая линия,Преображенская площадь,-8
Сокольническая линия,Сокольники,-9
Сокольническая линия,Красносельская,-8
Сокольническая линия,Комсомольская,-8
Сокольническая линия,Красные ворота,-31
Сокольническая линия,Чистые пруды,-35
Сокольническая линия,Лубянка,-33
Сокольническая линия,Охотный ряд,-15
Сокольническая линия,Библиотека имени Ленина,-12
Сокольническая линия,Кропоткинская,-13
Сокольническая линия,Парк культуры,-40
Сокольническая линия,Фрунзенская,-42
Сокольническая линия,Спортивная,-42
Сокольническая линия,Воробьёвы горы,10
Сокольническая линия,Университет,-27
Сокольническая линия,Проспект Вернадского,-8
Сокольническая линия,Юго-Западная,-8
Замоскворецкая линия,Речной вокзал,-6
Замоскворецкая линия,Водный стадион,-6
Замоскворецкая линия,Войковская,-7
Замоскворецкая линия,Сокол,-10
Замоскворецкая линия,Аэропорт,-10
Замоскворецкая линия,Динамо,-40
Замоскворецкая линия,Белорусская,-33
Замоскворецкая линия,Маяковская,-33
Замоскворецкая линия,Тверская,-42
Замоскворецкая линия,Театральная,-34
Замоскворецкая линия,Новокузнецкая,-38
Замоскворецкая линия,Павелецкая,-40
Замоскворецкая линия,Автозаводская,-11
Замоскворецкая линия,Коломенская,-9
Замоскворецкая линия,Каширская,-7
Замоскворецкая линия,Кантемировская,-8
Замоскворецкая линия,Царицыно,-8
Замоскворецкая линия,Орехово,-9
Замоскворецкая линия,Домодедовская,-10
Замоскворецкая линия,Красногвардейская,-9
Арбатско-Покровская линия,Щёлковская,-8
Арбатско-Покровская линия,Первомайская,-7
Арбатско-Покровская линия,Измайловская,0
Арбатско-Покровская линия,Партизанская,-9
Арбатско-Покровская линия,Семёновская,-40
Арбатско-Покровская линия,Электрозаводская,-32
Арбатско-Покровская линия,Бауманская,-33
Арбатско-Покровская линия,Курская,-31
Арбатско-Покровская линия,Площадь Революции,-34
Арбатско-Покровская линия,Арбатская,-41
Арбатско-Покровская линия,Смоленская,-50
Арбатско-Покровская линия,Киевская,-38
Арбатско-Покровская линия,Парк Победы,-84
Арбатско-Покровская линия,Славянский бульвар,-9
Арбатско-Покровская линия,Кунцевская,0
Арбатско-Покровская линия,Молодёжная,-7
Арбатско-Покровская линия,Крылатское,-10
Арбатско-Покровская линия,Строгино,-8
Филевская линия,Кунцевская,0
Филевская линия,Пионерская,0
Филевская линия,Филёвский парк,0
Филевская линия,Багратионовская,0
Филевская линия,Фили,0
Филевская линия,Кутузовская,0
Филевская линия,Студенческая,0
Филевская линия,Киевская,-9
Филевская линия,Смоленская,-8
Филевская линия,Арбатская,-8
Филевская линия,Александровский сад,-7
Филевская линия,Выставочная,-25
Филевская линия,Международная,-25
Кольцевая линия,Парк культуры,-11
Кольцевая линия,Октябрьская,-40
Кольцевая линия,Добрынинская,-36
Кольцевая линия,Павелецкая,-34
Кольцевая линия,Таганская,-53
Кольцевая линия,Курская,-40
Кольцевая линия,Комсомольская,-37
